1382,-2778,-3974
1266,-1982,-1048
1130,-1972,594
1080,-2153,1831
1265,-2391,3080
1532,-2255,4660
2259,-1714,8920
2683,-1012,14631
2628,-1934,21540
1910,-2521,28195
-116,-2419,32767
-1648,-921,32767
-2773,345,32767
-4041,1248,32767
-5797,-1024,32767
-6235,-1484,32767
-7911,302,32767
-5520,-564,32767
-4216,-33,32767
-3753,136,32767
-2357,452,32767
-3256,-462,31832
-3960,-887,31575
-1303,1096,32767
564,3199,32767
-991,2652,28996
-2977,1367,26986
-3293,1269,25201
-3673,1307,21130
-6281,-749,20269
-7075,-717,22177
-2762,-934,32767
-2665,164,32609
-4390,-2991,27985
-8069,-6111,22413
-11246,-6904,18533
-12880,-8264,15132
-8701,-3109,13743
-2944,-1932,14171
-3870,-1010,12225
-3243,-784,10952
-3054,-591,9351
-2865,-1546,10702
-2145,-761,9601
-1156,-1403,11408
-1175,-1126,12165
-1752,-675,11217
190,-1907,16522
1067,-716,16393
-211,-313,13602
-3777,-680,10145
-5354,-548,7499
-6388,-1048,5646
-8845,-340,2578
-10533,-1564,188
-13256,-1821,-2158
-14199,-2234,-3454
-13668,-3141,-2205
-11116,-3305,2086
-7817,-4187,5770
-6882,-3515,6666
-6219,-2650,5348
-1542,-252,5877
-1119,-42,5707
-3798,-153,3588
-5755,-324,1150
-6135,-280,-877
-5396,-135,-3080
-3885,-350,-6088
-1035,-112,-8942
119,-10,-12396
-135,-460,-18714
3546,-922,-28959
6848,776,-32768
4935,1728,-32768
3736,3379,-32768
5217,3566,-32768
7569,5224,-32768
7060,6149,-32768
5874,5835,-32768
5442,6187,-32768
4674,7549,-32183
3687,5757,-31273
1317,4006,-31586
1068,3266,-32694
623,2021,-32768
1123,1836,-30620
1129,1760,-28450
2095,2483,-27054
2764,3014,-24041
3633,3594,-23557
4453,4790,-24030
3181,3911,-23676
1923,2959,-22860
712,2000,-21731
87,1188,-20331
887,2209,-19604
2004,3120,-19062
2502,4522,-16435
2451,5039,-12963
2254,4651,-8925
1941,5247,-3420
500,2555,6031
-473,1183,9371
-1713,-23,15351
-3818,-1206,23889
-7362,-5035,28129
-10742,-7784,30980
-13314,-9042,32767
-12545,-8364,32767
-12494,-8196,32767
-10057,-6150,32767
-9161,-4397,32767
-8421,-4202,32767
-11253,-5927,32767
-13924,-6634,32767
-15243,-6058,30210
-15501,-5743,25771
-15051,-4431,21734
-15013,-4606,20613
-14978,-5774,18267
-13613,-4595,14874
-11660,-5015,10983
-9638,-5456,8693
-8622,-4419,6594
-6408,-3941,5106
